Nombre,Breve descripción,Componentes,Duración,Esfera de conjuro,Materiales,"Nivel ",Rango,Ritual,Tiempo de lanzamiento,Tipo duración
Animar Objeto,"Le otorgas voluntad a lo inerte; la silla, el candelabro o la espada te sirven fielmente.","M, S, V","Concentración, hasta 1 hora","Cinético, Origen",Un frasco de aceite de valor 10 PO,1º círculo,2 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Manipulación Vegetal,"Raíces y zarcillos brotan a tu llamado, obedeciendo tu voluntad con vida propia.","M, S, V",Instantáneo,Simbiosis,Una semilla o ramita viva,Truco,10 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Toque Bestial,"Tu mano adopta garras, colmillos o aguijón: la naturaleza ataca a través de ti.","M, S, V",Instantáneo,Simbiosis,"Pelo, escama o pluma de bestia",Truco,Contacto,No,1 acción bono,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Vínculo natural,Susurras en el lenguaje antiguo de la vida; la criatura siente tu intención sin palabras.,S,1 minuto,"Restauración, Simbiosis",,Truco,6 casillas,No,1 acción bono,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Llamada del Enjambre,"Con un silbido arcano, insectos, ratas o aves acuden a tu alrededor como ecos vivientes.","S, V",1 minuto,Simbiosis,,Truco,Personal (emanación 2 casillas),No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Chispa Vital,"Una luz dorada y cálida emerge de tu palma, sanando o quemando según tu voluntad.","M, S, V",Instantáneo,"Cinético, Restauración",Un fragmento de ámbar o resina curada,Truco,6 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Aliviar,"Con un toque gentil o una palabra suave, el veneno o el cansancio se desvanece.",V,Instantáneo,Restauración,,Truco,Contacto,No,1 acción bono,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Escudo de Fe,"Una barrera de luz pura rodea al elegido, desviando los golpes del destino.","S, V",1 ronda,"Destino, Restauración",,Truco,6 casillas,No,1 acción bono,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Purificar,Las impurezas huyen ante tu voluntad; el agua turbia se vuelve cristalina.,"S, V",Instantáneo,Restauración,,Truco,Contacto,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Toque Sombrío,Tu mano se oscurece; la vida huye de tu contacto como agua entre los dedos.,"M, S, V",Instantáneo,Ruina,Un hueso o diente de criatura fallecida,Truco,Contacto,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Sangrar,"Una herida arcana se abre en el enemigo, negándose a cerrarse.","M, S, V",Instantáneo,"Ruina, Simbiosis",Una espina o diente pequeño,Truco,6 casillas,No,1 acción bono,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Inocular,Una aguja de sombra brota de tu palma y hunde en el cuerpo del enemigo un veneno etéreo que se extiende desde dentro.,"M, S",Instantáneo,Ruina,Una aguja de hueso o metal,Truco,1 casilla,No,1 acción bono,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Espíritu Menor,De la sombra nace algo pequeño y obediente; no-muerto o espíritu acude a tu llamado.,"S, V",1 minuto,"Origen, Ruina",,Truco,2 casillas,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Chispa Arcana,"Un dardo de energía pura te obedece; simple, letal, versátil.","M, S, V",Instantáneo,Cinético,Un hilo de cobre enrollado,Truco,12 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Glifo de Aviso,Grabas un sigilo invisible; quien lo pise despertará fuerzas que no esperaba.,"S, V",1 hora o hasta activarse,"Cinético, Destino",,Truco,2 casillas,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Empuje Arcano,Un impulso invisible pero irresistible; la criatura vuela por el aire.,"S, V",Instantáneo,Cinético,,Truco,6 casillas,No,1 reacción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Catalizar Maná,Conviertes la magia misma en sustancia líquida; un sorbo de poder almacenado para cuando más lo necesites.,"S, V",24 horas,Cinético,,Truco,Personal,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
